[2023-02-02 17:41:40]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:40]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:40]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:41]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:41:41]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:41:41]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:42]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:42]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:45]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:45]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:45]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:46]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:47]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:47]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:47]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:47]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:48]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:48]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:49]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:49]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:49]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:49]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:50]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:51]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:55]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:55]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:55]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:55]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:55]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:55]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:56]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:56]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:56]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:56]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:41:56]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:56]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:57]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:41:57]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:57]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:41:58]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:41:58]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:41:58]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:59]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:41:59]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:01]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:01]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:01]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:03]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:03]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:03]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:04]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:04]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:05]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:05]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:05]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:06]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:06]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:06]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:06]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:07]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:07]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:07]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:07]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:08]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:08]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:09]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:10]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:11]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:12]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:12]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:12]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:12]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:12]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:13]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:13]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:14]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:14]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:14]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:14]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:15]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:15]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:15]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:16]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:16]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:17]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:17]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:18]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:18]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:18]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:19]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:19]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:19]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:20]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:20]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:20]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:21]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:22]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:22]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:22]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:22]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:22]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:23]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:23]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:23]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:23]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:23]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:23]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:24]up c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:24]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:25]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:25]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:25]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:25]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:25]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:25]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:25]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:26]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:27]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:28]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:28]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:28]down c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:28]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:28]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:28]down c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:28]up c++ key = [83], ctrl = 0, shift = 0
[2023-02-02 17:42:29]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:29]up c++ key = [65], ctrl = 0, shift = 0
[2023-02-02 17:42:30]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:30]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:30]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:30]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:30]down c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:30]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:30]up c++ key = [87], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:31]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
[2023-02-02 17:42:32]down c++ key = [68], ctrl = 0, shift = 0
